#element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Ei(eV),Ek(eV),g_i,g_k,Type
Al,2,104.78894,23300000,4.636145,16.467947,1,3,
Al,2,104.85583,17500000,4.643693,16.467947,3,3,
Al,2,104.856,31400000,4.643693,16.467928,3,5,
Al,2,104.99221,1160000,4.659052,16.467947,5,3,
Al,2,104.99228,41700000,4.659052,16.46794,5,7,
Al,2,104.99238,10400000,4.659052,16.467928,5,5,
Al,2,105.46022,11800000,4.636145,16.3926349,1,3,
Al,2,105.52797,35300000,4.643693,16.3926349,3,3,
Al,2,105.66611,58500000,4.659052,16.3926349,5,3,
Al,2,116.98458,8370,0,10.598337,1,5,E2
Al,2,118.91848,82900000,4.636145,15.0621276,1,3,
Al,2,119.00463,62200000,4.643693,15.0621276,3,3,
Al,2,119.0051,112000000,4.643693,15.062086,3,5,
Al,2,119.18033,4120000,4.659052,15.0621276,5,3,
Al,2,119.1808,37000000,4.659052,15.062086,5,5,
Al,2,119.1814,148000000,4.659052,15.062034,5,7,
Al,2,120.91915,25100000,4.636145,14.8896243,1,3,
Al,2,121.00823,74700000,4.643693,14.8896243,3,3,
Al,2,121.1899,124000000,4.659052,14.8896243,5,3,
Al,2,125.88572,102000000,7.420705,17.269654,3,5,
Al,2,135.01773,237000000,7.420705,16.6035135,3,5,
Al,2,137.12415,58300000,7.420705,16.4624524,3,1,
Al,2,153.98329,670000000,7.420705,15.4725,3,5,
Al,2,162.56276,131000000,7.420705,15.0475561,3,1,
Al,2,167.07874,1410000000,0,7.420705,1,3,
Al,2,171.9442,655000000,4.636145,11.846869,1,3,
Al,2,172.1244,493000000,4.643693,11.846869,3,3,
Al,2,172.1271,882000000,4.643693,11.846753,3,5,
Al,2,172.4922,33200000,4.659052,11.846869,5,3,
Al,2,172.4949,297000000,4.659052,11.846753,5,5,
Al,2,172.4982,1180000000,4.659052,11.846618,5,7,
Al,2,175.0618,57300000,10.598337,17.680649,5,7,
Al,2,176.0106,313000000,4.643693,11.687827,3,5,
Al,2,176.1977,412000000,4.636145,11.672797,1,3,
Al,2,176.3869,304000000,4.643693,11.672797,3,3,
Al,2,176.3952,921000000,4.659052,11.687827,5,5,
Al,2,176.5816,1230000000,4.643693,11.665048,3,1,
Al,2,176.7732,513000000,4.659052,11.672797,5,3,
Al,2,177.2803,941000000,11.665048,18.658729,1,3,
