#element,sp_num,g,Level(eV),Uncertainty(eV)
Al,1,2,0,
Al,1,4,0.0138938,
Al,1,2,3.1427212,
Al,1,2,3.598072,
Al,1,4,3.603844,
Al,1,6,3.613244,
Al,1,4,4.0214836,
Al,1,6,4.0216502,
Al,1,2,4.0852554,
Al,1,4,4.0872183,
Al,1,2,4.6728909,
Al,1,4,4.8266321,
Al,1,6,4.8271968,
Al,1,2,4.9930889,
Al,1,4,4.993821,
Al,1,6,5.1229514,
Al,1,8,5.1229524,
Al,1,2,5.225241,
Al,1,4,5.2363166,
Al,1,6,5.2368177,
Al,1,2,5.3728582,
Al,1,4,5.3732134,
Al,1,6,5.4343639,
Al,1,8,5.4343644,
Al,1,8,5.4398996,
Al,1,10,5.4398996,
Al,1,4,5.4759355,
Al,1,6,5.4762391,
Al,1,2,5.4891689,
Al,1,2,5.5693288,
Al,1,4,5.5695298,
Al,1,8,5.6034263,
Al,1,6,5.6034263,
Al,1,10,5.6067785,
Al,1,8,5.6067785,
Al,1,4,5.62196,
Al,1,6,5.6221371,
Al,1,2,5.63598,
Al,1,6,5.7052289,
Al,1,8,5.7052289,
Al,1,8,5.7073982,
Al,1,10,5.7073982,
Al,1,12,5.7078721,
Al,1,10,5.7078721,
Al,1,4,5.7148562,
Al,1,6,5.7149663,
Al,1,2,5.7260732,
Al,1,8,5.7712093,
Al,1,6,5.7712093,
Al,1,4,5.776835,
Al,1,6,5.776914,
Al,1,2,5.785342,
Al,1,6,5.816394,
Al,1,8,5.816394,
Al,1,4,5.819939,
Al,1,6,5.82001,
Al,1,2,5.826403,
Al,1,6,5.848678,
Al,1,8,5.848678,
Al,1,6,5.851109,
Al,1,4,5.851109,
Al,1,2,5.856022,
Al,1,6,5.87433,
Al,1,4,5.87433,
Al,1,2,5.878087,
Al,1,6,5.89187,
Al,1,4,5.89187,
Al,1,2,5.894968,
Al,1,6,5.90569,
Al,1,4,5.90569,
Al,1,2,5.908167,
Al,1,6,5.91669,
Al,1,4,5.91669,
Al,1,2,5.918685,
Al,1,6,5.92558,
Al,1,4,5.92558,
Al,1,4,5.93276,
Al,1,6,5.93276,
Al,1,4,5.93886,
Al,1,6,5.93886,
Al,1,6,5.94389,
Al,1,4,5.94389,
Al,1,6,5.94815,
Al,1,4,5.94815,
Al,1,6,5.95182,
Al,1,4,5.95182,
Al,1,4,5.9551,
Al,1,6,5.9551,
Al,1,6,5.9576,
Al,1,4,5.9576,
Al,1,6,5.96,0.012
Al,1,4,5.96,0.012
Al,1,6,5.962,
Al,1,4,5.962,
Al,1,4,5.9639,
Al,1,6,5.9639,
Al,1,6,5.9655,
Al,1,4,5.9655,
Al,1,6,5.967,
Al,1,4,5.967,
Al,1,6,5.9682,
Al,1,4,5.9682,
Al,1,4,5.9695,
Al,1,6,5.9695,
Al,1,6,5.9705,
Al,1,4,5.9705,
Al,1,6,5.9715,
Al,1,4,5.9715,
Al,1,6,5.972,0.012
Al,1,4,5.972,0.012
Al,1,4,5.9732,
Al,1,6,5.9732,
Al,1,6,5.9738,
Al,1,4,5.9738,
Al,1,,5.985769,0.000003
Al,1,2,6.41652,
Al,1,2,7.0220847,
Al,1,4,7.0330012,
Al,1,2,7.648766,
Al,1,4,7.655722,
Al,1,6,7.667622,
Al,1,4,8.3856871,
Al,1,6,8.3891377,
Al,1,2,8.65897,
Al,1,4,8.66405,
Al,1,4,8.71432,
Al,1,4,8.74839,
Al,1,2,8.76685,
Al,1,4,8.77356,
Al,1,2,8.832045,
Al,1,4,8.833151,
Al,1,6,8.835182,
Al,1,8,8.83839,
Al,1,6,8.8838,
Al,1,4,8.8838,
Al,1,6,8.952155,
Al,1,4,8.957924,
Al,1,2,8.961299,
Al,1,6,9.04823,
Al,1,8,9.06049,
Al,1,2,9.05717,
Al,1,6,9.296214,
Al,1,4,9.48748,
Al,1,6,9.491421,
Al,1,2,9.62452,
Al,1,4,9.62649,
Al,1,2,9.62959,
Al,1,4,9.63515,
Al,1,4,9.6526,
Al,1,4,9.7044,
Al,1,6,9.7044,
Al,1,6,9.746674,
Al,1,8,9.758828,
Al,1,2,9.76288,
Al,1,4,9.93833,
Al,1,6,9.94253,
Al,1,2,10.00834,
Al,1,4,10.00979,
Al,1,2,10.015,
Al,1,4,10.01939,
Al,1,4,10.03445,
Al,1,6,10.0544,
Al,1,4,10.0544,
Al,1,4,10.08178,
Al,1,4,10.2082,
Al,1,2,10.21325,
Al,1,4,10.21767,
Al,1,4,10.2408,
Al,1,6,10.2408,
Al,1,2,10.25372,
Al,1,4,10.32471,
Al,1,4,10.32811,
Al,1,4,10.3451,
Al,1,6,10.3462,
Al,1,4,10.3516,
Al,1,6,10.3516,
Al,1,2,10.35723,
Al,1,2,10.38953,
Al,1,4,10.39951,
Al,1,4,10.39855,
Al,1,6,10.421,
Al,1,4,10.42452,
Al,1,4,10.45093,
Al,1,6,10.4697,
Al,1,2,10.47087,
Al,1,4,10.486,
Al,1,6,10.5032,
Al,1,2,10.50408,
Al,1,,10.6219,
Al,1,,10.629448,
Al,1,,10.644807,
Al,1,,13.40646,
Al,2,1,0,
Al,2,1,4.636145,
Al,2,3,4.643693,
Al,2,5,4.659052,
Al,2,3,7.420705,
Al,2,5,10.598337,
Al,2,3,11.316596,
Al,2,1,11.665048,
Al,2,3,11.672797,
Al,2,5,11.687827,
Al,2,1,11.821968,
Al,2,7,11.846618,
Al,2,5,11.846753,
Al,2,3,11.846869,
Al,2,1,13.071347,
Al,2,3,13.07308,
Al,2,5,13.076729,
Al,2,3,13.25646,
Al,2,5,13.649399,
Al,2,1,13.841265,
Al,2,3,14.8896243,
Al,2,1,15.0475561,
Al,2,7,15.062034,
Al,2,5,15.062086,
Al,2,3,15.0621276,
Al,2,5,15.301941,
Al,2,7,15.302186,
Al,2,9,15.302546,
Al,2,7,15.30839,
Al,2,5,15.4725,
Al,2,1,15.585203,
Al,2,3,15.5859083,
Al,2,5,15.5875046,
Al,2,3,15.6057689,
Al,2,3,16.3926349,
Al,2,1,16.4624524,
Al,2,5,16.467928,
Al,2,7,16.46794,
Al,2,3,16.467947,
Al,2,5,16.544168,
Al,2,7,16.544833,
Al,2,9,16.5457,
Al,2,7,16.574428,
Al,2,5,16.6035135,
Al,2,9,16.63666,
Al,2,11,16.63666,
Al,2,7,16.63666,
Al,2,9,16.63666,
Al,2,3,16.727874,
Al,2,1,16.7393899,
Al,2,3,16.7398135,
Al,2,5,16.7406102,
Al,2,3,17.171798,
Al,2,5,17.17446,
Al,2,7,17.17663,
Al,2,9,17.17947,
Al,2,1,17.209081,
Al,2,3,17.21085,
Al,2,5,17.21085,
Al,2,7,17.210881,
Al,2,7,17.2642222,
Al,2,5,17.269654,
Al,2,7,17.30709,
Al,2,11,17.30709,
Al,2,9,17.30709,
Al,2,9,17.30709,
Al,2,3,17.347743,
Al,2,1,17.36895,
Al,2,3,17.36918,
Al,2,5,17.36965,
Al,2,5,17.492297,
Al,2,7,17.495418,
Al,2,9,17.499508,
Al,2,3,17.628438,
Al,2,1,17.65077,
Al,2,3,17.651077,
Al,2,5,17.651096,
Al,2,7,17.651132,
Al,2,7,17.680649,
Al,2,5,17.681296,
Al,2,7,17.71134,
Al,2,9,17.71134,
Al,2,11,17.71134,
Al,2,9,17.71134,
Al,2,3,17.72493,
Al,2,1,17.75025,
Al,2,3,17.750416,
Al,2,5,17.750823,
Al,2,5,17.762699,
Al,2,7,17.763571,
Al,2,9,17.764921,
Al,2,3,17.919108,
Al,2,3,17.93332,
Al,2,5,17.933345,
Al,2,7,17.933378,
Al,2,1,17.933588,
Al,2,5,17.950709,
Al,2,7,17.950984,
Al,2,3,17.970406,
Al,2,9,17.97363,
Al,2,7,17.97363,
Al,2,11,17.97363,
Al,2,9,17.97363,
Al,2,9,17.97674,
Al,2,13,17.97674,
Al,2,11,17.97674,
Al,2,11,17.97674,
Al,2,5,17.993766,
Al,2,7,17.994066,
Al,2,9,17.994485,
Al,2,1,17.995791,
Al,2,3,17.996438,
Al,2,5,17.997483,
Al,2,1,18.073939,
Al,2,3,18.081198,
Al,2,5,18.096925,
Al,2,3,18.115597,
Al,2,3,18.12506,
Al,2,5,18.12506,
Al,2,7,18.12511,
Al,2,1,18.12551,
Al,2,5,18.13591,
Al,2,7,18.136247,
Al,2,3,18.138878,
Al,2,9,18.15338,
Al,2,7,18.15338,
Al,2,11,18.15338,
Al,2,9,18.15338,
Al,2,9,18.15563,
Al,2,13,18.15563,
Al,2,11,18.15563,
Al,2,11,18.15563,
Al,2,5,18.163673,
Al,2,7,18.163808,
Al,2,9,18.163991,
Al,2,1,18.175445,
Al,2,3,18.175705,
Al,2,5,18.176344,
Al,2,3,18.254621,
Al,2,3,18.259255,
Al,2,5,18.261217,
Al,2,7,18.261273,
Al,2,3,18.26138,
Al,2,1,18.261754,
Al,2,5,18.268438,
Al,2,7,18.268659,
Al,2,11,18.28189,
Al,2,9,18.28189,
Al,2,7,18.28189,
Al,2,9,18.28189,
Al,2,9,18.28358,
Al,2,13,18.28358,
Al,2,11,18.28358,
Al,2,11,18.28358,
Al,2,5,18.288011,
Al,2,7,18.288075,
Al,2,9,18.28818,
Al,2,5,18.29689,
Al,2,3,18.350218,
Al,2,3,18.35662,
Al,2,7,18.36122,
Al,2,1,18.36189,
Al,2,5,18.366415,
Al,2,7,18.36651,
Al,2,7,18.37695,
Al,2,11,18.37695,
Al,2,9,18.37695,
Al,2,9,18.37695,
Al,2,5,18.380951,
Al,2,7,18.38097,
Al,2,9,18.381039,
Al,2,3,18.422123,
Al,2,3,18.43362,
Al,2,1,18.43767,
Al,2,7,18.440872,
Al,2,11,18.4492,
Al,2,9,18.4492,
Al,2,7,18.4492,
Al,2,9,18.4492,
Al,2,5,18.45204,
Al,2,9,18.45204,
